City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
411,Nakatsu,58,JP,2022-01-31 21:52:32,68,33.5981,131.1883,44.53,9.98
412,Bardstown,0,US,2022-01-31 21:47:34,55,37.8092,-85.4669,45.27,0.0
413,Sorland,100,NO,2022-01-31 21:52:33,56,67.667,12.6934,30.27,8.72
414,Ballyshannon,100,IE,2022-01-31 21:52:34,92,54.5,-8.1833,49.6,25.41
415,Ystad,81,SE,2022-01-31 21:48:28,63,55.4297,13.8204,28.98,9.28
416,Broome,0,US,2022-01-31 21:52:35,53,42.2506,-75.833,27.37,0.0
417,Karoi,23,ZW,2022-01-31 21:52:36,99,-16.8099,29.6925,62.19,5.01
418,Iwanai,99,JP,2022-01-31 21:52:36,70,42.9744,140.5089,24.26,7.09
419,Slave Lake,40,CA,2022-01-31 21:52:37,71,55.2834,-114.769,1.38,16.11
420,Chara,75,RU,2022-01-31 21:52:38,90,56.9064,118.2631,-22.16,0.92
421,West Wendover,0,US,2022-01-31 21:52:38,32,40.7391,-114.0733,43.95,17.6
422,Nuevitas,97,CU,2022-01-31 21:52:39,64,21.5453,-77.2644,71.37,10.67
423,Cervo,97,ES,2022-01-31 21:52:40,80,43.6702,-7.4101,51.96,12.01
424,Port Augusta,100,AU,2022-01-31 21:52:41,75,-32.5,137.7667,69.71,17.85
425,Lynchburg,0,US,2022-01-31 21:48:30,43,37.4138,-79.1423,42.94,6.91
426,Storsteinnes,100,NO,2022-01-31 21:52:42,80,69.2408,19.2344,26.6,4.72
427,Putnok,100,HU,2022-01-31 21:52:43,98,48.3,20.4333,34.39,0.69
428,Manadhoo,2,MV,2022-01-31 21:52:43,75,5.7667,73.3833,82.13,12.44
429,Bikaner,0,IN,2022-01-31 21:52:44,26,28.0167,73.3,65.57,6.89
430,Mareeba,90,AU,2022-01-31 21:52:45,94,-17.0,145.4333,76.44,5.39
431,Mangit,56,UZ,2022-01-31 21:52:45,48,40.5971,70.9607,31.28,5.19
432,Lerwick,100,GB,2022-01-31 21:52:46,97,60.1545,-1.1494,39.2,13.73
433,Zhangye,100,CN,2022-01-31 21:52:47,34,38.9342,100.4517,17.92,4.03
434,Ugoofaaru,4,MV,2022-01-31 21:52:48,74,5.6667,73.0,82.13,13.29
435,Panama City,40,PA,2022-01-31 21:47:57,54,8.9936,-79.5197,87.75,14.97
436,Dawei,13,MM,2022-01-31 21:52:49,74,14.0833,98.2,62.8,3.04
437,Salina Cruz,0,MX,2022-01-31 21:52:50,62,16.1667,-95.2,80.4,10.69
438,Moron,7,AR,2022-01-31 21:52:51,40,-34.6534,-58.6198,79.02,1.99
439,Alyangula,40,AU,2022-01-31 21:52:51,94,-13.8483,136.4192,80.47,8.05
440,San Policarpo,72,PH,2022-01-31 21:52:52,83,12.1791,125.5072,78.26,8.66
441,Santa Isabel,100,BR,2022-01-31 21:49:21,96,-23.3156,-46.2214,74.98,6.4
442,Richards Bay,32,ZA,2022-01-31 21:52:53,81,-28.783,32.0377,75.33,9.31
443,Colombo,6,LK,2022-01-31 21:48:10,87,6.9319,79.8478,75.15,9.42
444,Republic,15,US,2022-01-31 21:52:54,30,37.12,-93.4802,65.59,3.0
445,Goderich,32,CA,2022-01-31 21:52:55,54,43.7501,-81.7165,26.92,8.05
446,Brazzaville,18,CG,2022-01-31 21:49:22,94,-4.2658,15.2832,77.36,3.44
447,Carmelo,7,UY,2022-01-31 21:52:56,41,-33.9892,-58.2856,81.16,9.84
448,Shubarshi,100,KZ,2022-01-31 21:52:57,94,48.5872,57.1869,18.54,7.85
449,Gouyave,20,GD,2022-01-31 21:52:57,78,12.1646,-61.7296,81.37,16.11
450,Suez,6,EG,2022-01-31 21:52:58,78,29.9737,32.5263,51.82,2.64
451,Husavik,100,IS,2022-01-31 21:45:20,94,66.0449,-17.3389,21.11,7.36
452,Nantucket,60,US,2022-01-31 21:51:10,63,41.2835,-70.0995,26.96,6.15
453,Varangaon,2,IN,2022-01-31 21:53:00,27,21.0167,75.9,64.44,2.17
454,Marienburg,64,PL,2022-01-31 21:53:00,72,54.0359,19.0266,30.11,9.78
455,Yabrud,30,SY,2022-01-31 21:53:01,72,33.9674,36.6574,26.26,3.74
456,Saint-Pierre,40,RE,2022-01-31 21:53:02,78,-21.3393,55.4781,78.48,6.91
457,Acajutla,3,SV,2022-01-31 21:53:02,56,13.5928,-89.8275,88.81,7.87
458,Alta Gracia,22,AR,2022-01-31 21:53:03,55,-31.6529,-64.4283,85.55,2.17
459,Ailigandi,12,PA,2022-01-31 21:53:04,71,9.2333,-78.0167,79.81,10.83
460,Teguise,0,ES,2022-01-31 21:53:04,56,29.0605,-13.564,66.42,16.11
461,Dunedin,71,NZ,2022-01-31 21:45:16,72,-45.8742,170.5036,68.81,8.01
462,Colares,0,PT,2022-01-31 21:53:05,73,38.7992,-9.4469,54.28,7.0
463,Calatrava,99,PH,2022-01-31 21:53:06,86,10.595,123.4838,78.82,9.35
464,Mumford,70,GH,2022-01-31 21:53:07,80,5.2618,-0.759,77.85,4.59
465,Eyl,33,SO,2022-01-31 21:53:07,82,7.9803,49.8164,76.01,15.95
466,Clearwater,0,US,2022-01-31 21:53:08,67,27.9659,-82.8001,68.22,3.0
467,Tunceli,100,TR,2022-01-31 21:53:09,97,39.1083,39.5471,31.6,2.35
468,Fare,5,PF,2022-01-31 21:53:09,72,-16.7,-151.0167,80.76,20.04
469,Luderitz,8,NA,2022-01-31 21:45:18,85,-26.6481,15.1594,66.25,3.31
470,Baruun-Urt,8,MN,2022-01-31 21:53:11,95,46.6806,113.2792,-11.22,5.48
471,Mogadishu,49,SO,2022-01-31 21:53:12,84,2.0371,45.3438,77.49,17.02
472,Henties Bay,100,NA,2022-01-31 21:53:12,80,-22.116,14.2845,69.85,3.76
473,San Angelo,22,US,2022-01-31 21:53:13,46,31.4638,-100.437,68.97,1.99
474,Ola,78,RU,2022-01-31 21:53:14,82,59.5833,151.2833,0.18,12.08
475,Lakes Entrance,0,AU,2022-01-31 21:53:14,65,-37.8811,147.981,82.17,6.49
476,Lubango,100,AO,2022-01-31 21:53:15,63,-14.9172,13.4925,60.6,4.68
477,Loralai,1,PK,2022-01-31 21:53:16,44,30.3705,68.598,44.91,5.44
478,Taitung,69,TW,2022-01-31 21:53:16,78,22.7583,121.1444,61.56,7.16
479,Lavrentiya,59,RU,2022-01-31 21:53:17,83,65.5833,-171.0,-0.65,12.08
480,Bodden Town,40,KY,2022-01-31 21:53:18,59,19.2833,-81.25,77.0,8.99
481,Hirara,75,JP,2022-01-31 21:49:04,67,24.8,125.2833,62.87,9.22
482,Calinesti,100,RO,2022-01-31 21:53:18,66,44.8167,25.05,36.48,2.98
483,Polewali,93,ID,2022-01-31 21:53:19,76,-3.4324,119.3435,74.91,3.87
484,Port Moresby,40,PG,2022-01-31 21:53:20,88,-9.4431,147.1797,76.42,11.5
485,Ridgecrest,75,US,2022-01-31 21:53:21,16,35.6225,-117.6709,60.66,1.99
486,Alofi,75,NU,2022-01-31 21:53:21,74,-19.0595,-169.9187,80.49,5.75
487,Avera,96,US,2022-01-31 21:48:37,45,33.194,-82.5271,60.31,6.58
