,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
349,Urucara,BR,-2.5364,-57.76,75.52,93,57,1.86,broken clouds
350,Estelle,US,29.8458,-90.1067,65.05,61,75,9.22,broken clouds
351,Souillac,MU,-20.5167,57.5167,80.37,77,70,23.42,broken clouds
352,Xinzhi,CN,36.4989,111.7047,22.42,50,1,4.18,clear sky
353,Vanimo,PG,-2.6741,141.3028,78.17,77,100,5.21,overcast clouds
354,Faya,SA,18.3851,42.4509,52.32,80,3,6.51,clear sky
355,Vredendal,ZA,-31.6683,18.5012,76.84,49,30,4.27,scattered clouds
356,Kahama,TZ,-3.8333,32.6,62.78,95,100,3.29,overcast clouds
357,Broken Hill,AU,-31.95,141.4333,77.18,65,100,8.59,light rain
358,Fort Nelson,CA,58.8053,-122.7002,0.34,85,100,0.78,overcast clouds
359,Taoudenni,ML,22.6783,-3.9836,69.35,8,70,13.53,broken clouds
360,Vestmannaeyjar,IS,63.4427,-20.2734,41.76,78,100,32.28,overcast clouds
361,Kloulklubed,PW,7.0419,134.2556,81.1,73,100,20.6,overcast clouds
362,Akonolinga,CM,3.7667,12.25,66.63,32,97,3.29,overcast clouds
363,Camana,PE,-16.6228,-72.7111,72.43,74,69,6.15,broken clouds
364,Menzelinsk,RU,55.7271,53.1026,29.44,95,100,14.36,snow
365,Iqaluit,CA,63.7506,-68.5145,-31.31,73,86,5.01,overcast clouds
366,Avera,US,33.194,-82.5271,56.71,49,97,5.84,overcast clouds
367,Baykit,RU,61.67,96.37,-3.32,100,100,0.76,overcast clouds
368,Balaka,MW,-14.9793,34.9558,69.21,93,45,2.59,scattered clouds
369,Road Town,VG,18.4167,-64.6167,78.84,73,20,3.44,few clouds
370,Azul,AR,-36.777,-59.8585,62.91,40,85,2.33,overcast clouds
371,Nadym,RU,65.5333,72.5167,-18.11,100,100,5.61,overcast clouds
372,Ustynivka,UA,47.9551,32.5367,26.8,90,29,6.98,scattered clouds
373,Fonte Boa,BR,-2.4959,-66.2662,80.13,73,81,2.75,broken clouds
374,Barcelos,PT,41.5388,-8.6151,50.85,77,1,7.02,clear sky
375,Marechal Candido Rondon,BR,-24.5561,-54.0567,79.25,63,69,5.01,broken clouds
376,Port Blair,IN,11.6667,92.75,72.64,76,44,6.42,scattered clouds
377,Yerbabuena,MX,20.9667,-101.2667,76.05,18,0,22.95,clear sky
378,Nouadhibou,MR,20.931,-17.0347,66.31,77,100,15.73,overcast clouds
379,Labuhan,ID,-6.8844,112.2051,77.65,87,100,5.39,overcast clouds
380,Libreville,GA,0.3925,9.4537,79.65,82,98,7.09,overcast clouds
381,Valparaiso,CL,-33.0393,-71.6273,67.48,77,0,6.91,clear sky
382,Morden,CA,49.1919,-98.1014,34.18,90,100,13.27,overcast clouds
383,Codrington,AU,-38.2667,141.9667,62.65,70,61,19.19,broken clouds
384,Citta Di Castello,IT,43.4691,12.2305,43.29,79,56,6.24,broken clouds
385,Kaele,CM,10.1092,14.4508,68.41,16,7,10.2,clear sky
386,Novopokrovka,UA,49.8425,36.5477,30.58,94,100,12.3,snow
387,Srednekolymsk,RU,67.45,153.6833,-14.75,93,100,3.96,overcast clouds
388,Belyy Yar,RU,53.6039,91.3903,-18.51,81,64,0.0,mist
389,Ojinaga,MX,29.5667,-104.4167,70.75,24,0,8.05,clear sky
390,Mantes-La-Ville,FR,48.9737,1.7025,39.81,80,13,5.08,few clouds
391,Viedma,AR,-40.8135,-62.9967,75.04,21,46,2.35,scattered clouds
392,Macherla,IN,16.4833,79.4333,66.0,83,7,3.13,clear sky
393,Ossora,RU,59.2353,163.0719,19.89,94,100,16.26,snow
394,Bulalacao,PH,12.3254,121.3435,78.35,78,94,19.6,overcast clouds
395,Sri Aman,MY,1.2376,111.4621,73.67,99,99,1.16,overcast clouds
396,Russell,US,32.3502,-85.1999,62.2,41,0,0.0,clear sky
397,Darnah,LY,32.767,22.6367,53.98,77,37,14.94,scattered clouds
398,Kieta,PG,-6.2167,155.6333,81.43,80,100,4.65,moderate rain
399,Champerico,GT,14.3,-91.9167,84.74,64,6,9.69,clear sky
400,San Patricio,US,28.017,-97.5169,71.69,84,97,6.24,overcast clouds
401,Narsaq,GL,60.9167,-46.05,26.82,92,100,5.23,light snow
402,Sola,VU,-13.8833,167.55,79.9,83,100,19.46,overcast clouds
403,Nantucket,US,41.2835,-70.0995,25.14,64,0,5.75,clear sky
404,Huanren,CN,41.2647,125.3667,13.89,95,94,3.94,overcast clouds
405,Meulaboh,ID,4.1363,96.1285,76.33,87,32,2.37,scattered clouds
406,Gondanglegi,ID,-7.7479,112.0132,74.46,90,100,1.36,overcast clouds
407,Jardim,BR,-21.4803,-56.1381,81.81,46,19,6.04,few clouds
408,Pacific Grove,US,36.6177,-121.9166,60.76,82,20,1.01,few clouds
409,Oranjestad,AW,12.524,-70.027,78.82,76,5,17.36,clear sky
410,Minudasht,IR,37.2289,55.3747,47.77,44,70,10.94,broken clouds
411,Parabel,RU,58.6978,81.4825,6.69,94,92,8.41,overcast clouds
412,San Miguel,SV,13.4833,-88.1833,87.03,39,5,7.87,clear sky
413,Kutulik,RU,53.3508,102.7839,-18.22,100,84,1.54,broken clouds
414,Boundiali,CI,9.5217,-6.4869,76.08,15,43,4.36,scattered clouds
415,Kruisfontein,ZA,-34.0033,24.7314,70.88,95,100,4.59,overcast clouds
416,Wakkanai,JP,45.4094,141.6739,26.78,60,100,17.65,overcast clouds
417,Benghazi,LY,32.1167,20.0667,57.18,69,28,18.61,scattered clouds
418,Tres Lagoas,BR,-20.7511,-51.6783,72.05,92,100,6.62,light rain
419,Laguna,US,38.421,-121.4238,65.28,53,0,1.99,clear sky
420,Salina,US,38.8403,-97.6114,65.3,17,0,14.97,clear sky
421,Dulce Grande,MX,23.0,-102.1667,70.14,11,30,25.01,scattered clouds
422,Corn Island,NI,12.1694,-83.0418,77.92,71,83,23.42,broken clouds
423,Meadow Lake,US,34.8014,-106.5436,57.97,16,9,3.2,clear sky
424,Mackenzie,CA,55.2999,-123.1698,11.89,85,94,1.16,overcast clouds
425,Ugoofaaru,MV,5.6667,73.0,82.06,75,4,13.85,clear sky
426,Hasaki,JP,35.7333,140.8333,30.6,43,74,6.22,broken clouds
427,Tigil,RU,57.8,158.6667,12.04,85,4,7.87,clear sky
428,Luderitz,NA,-26.6481,15.1594,65.84,86,8,4.9,clear sky
429,Vila,PT,42.0304,-8.1588,41.88,72,5,6.33,clear sky
430,Aguai,BR,-22.0594,-46.9786,71.87,98,100,4.09,overcast clouds
431,Dunedin,NZ,-45.8742,170.5036,66.79,78,76,15.01,broken clouds
432,Cradock,ZA,-32.1642,25.6192,70.59,74,100,6.49,overcast clouds
433,Ishigaki,JP,24.3448,124.1572,66.42,64,99,16.13,overcast clouds
434,Nangan,PH,6.4726,126.1244,79.34,80,100,7.14,overcast clouds
435,Karasjok,NO,69.4719,25.5112,6.91,100,57,2.57,broken clouds
436,Terney,RU,45.0503,136.6092,4.6,82,2,12.75,clear sky
437,Namatanai,PG,-3.6667,152.4333,81.09,79,96,3.4,light rain
438,Skibbereen,IE,51.55,-9.2667,48.0,84,78,20.74,broken clouds
439,Pasighat,IN,28.0667,95.3333,55.98,79,98,1.41,overcast clouds
440,Katherine,AU,-14.4667,132.2667,79.12,89,75,5.75,broken clouds
441,Norman Wells,CA,65.282,-126.8329,3.25,93,100,13.42,light snow
442,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,7.38,96,100,9.93,snow
443,Calamar,CO,10.2511,-74.9146,80.55,56,55,13.42,broken clouds
444,Honningsvag,NO,70.9821,25.9704,29.7,74,100,13.22,overcast clouds
445,Maniitsoq,GL,65.4167,-52.9,10.58,78,100,14.23,overcast clouds
446,Mbanza-Ngungu,CD,-5.25,14.8667,68.31,92,94,2.73,overcast clouds
447,Saldanha,ZA,-33.0117,17.9442,70.77,70,16,5.75,few clouds
448,Chimbote,PE,-9.0853,-78.5783,72.97,78,54,10.2,broken clouds
449,Sioux Lookout,CA,50.1001,-91.917,23.31,90,100,8.81,overcast clouds
450,Nuuk,GL,64.1835,-51.7216,18.21,93,75,14.97,light shower snow
451,Guane,CU,22.2025,-84.0875,65.95,55,0,5.77,clear sky
452,Talhar,PK,24.8833,68.8167,66.11,67,0,5.26,clear sky
453,Sumbe,AO,-11.2061,13.8437,75.97,82,96,3.27,overcast clouds
454,Kapchorwa,UG,1.3965,34.4509,61.92,68,100,0.96,overcast clouds
455,Kikwit,CD,-5.041,18.8162,71.24,93,100,1.5,overcast clouds
456,Prince Rupert,CA,54.3161,-130.3201,37.49,93,100,3.44,light rain
457,Sattahip,TH,12.6664,100.9007,78.98,73,20,8.05,few clouds
458,Rafai,CF,4.95,23.9167,71.67,30,91,2.73,overcast clouds
459,Sanghar,PK,26.0466,68.9481,59.07,39,0,5.91,clear sky
460,Olinda,BR,-8.0089,-34.8553,80.38,74,12,7.94,few clouds
461,Nome,US,64.5011,-165.4064,17.67,45,0,10.36,clear sky
462,Kimbe,PG,-5.5502,150.1429,80.44,84,100,2.35,moderate rain
463,Kulu,TR,39.0951,33.0799,16.75,98,24,1.72,few clouds
464,Toora-Khem,RU,52.4675,96.11,-25.17,100,93,1.03,overcast clouds
465,Kuruman,ZA,-27.4524,23.4325,63.99,91,100,14.58,overcast clouds
466,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,71.19,97,100,5.75,moderate rain
467,Ranong,TH,9.9658,98.6348,73.4,90,10,3.09,clear sky
468,Kasongo-Lunda,CD,-6.4667,16.8167,70.18,97,100,0.78,light rain
469,Chimala,TZ,-8.85,34.0167,64.81,97,99,1.5,light rain
470,Whitefish,US,48.4111,-114.3376,34.11,65,100,8.05,light snow
471,Nanortalik,GL,60.1432,-45.2371,26.82,80,100,20.71,light snow
472,San Roque,ES,36.2107,-5.3842,54.79,55,0,8.14,clear sky
473,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,59,75,15.66,light snow
474,Ginda,IN,30.6945,78.4932,35.58,44,5,7.72,clear sky
475,Provost,CA,52.3501,-110.2683,2.73,88,100,22.28,overcast clouds
476,Vikhorevka,RU,56.1201,101.1636,-9.76,100,100,1.54,overcast clouds
477,Gadsden,US,34.0143,-86.0066,61.03,40,0,4.61,clear sky
478,Rio Gallegos,AR,-51.6226,-69.2181,51.85,54,75,36.82,broken clouds
479,Kibre Mengist,ET,5.8833,38.9833,54.37,39,100,2.82,overcast clouds
480,Diffa,NE,13.3154,12.6113,62.64,33,2,11.21,clear sky
481,Kuchl,AT,47.6265,13.1448,38.08,97,100,6.11,light snow
482,Omboue,GA,-1.5746,9.2618,78.08,86,98,5.88,overcast clouds
483,Ilo,PE,-17.6394,-71.3375,70.25,76,5,5.21,clear sky
484,Dudinka,RU,69.4058,86.1778,6.62,95,98,7.92,overcast clouds
485,Hell,NO,63.4455,10.9033,27.52,93,75,4.61,broken clouds
486,Fort Morgan,US,40.2503,-103.8,49.42,52,0,4.61,clear sky
487,Murovani Kurylivtsi,UA,48.7235,27.5189,27.99,95,100,4.12,overcast clouds
488,Turkistan,KZ,43.0,68.0,29.86,63,33,5.82,scattered clouds
489,Dengzhou,CN,37.8086,120.7508,28.65,60,98,15.14,overcast clouds
490,Hornepayne,CA,49.2138,-84.7705,20.62,89,100,11.27,overcast clouds
491,Nioaque,BR,-21.1353,-55.83,79.61,72,30,8.08,scattered clouds
492,Manggar,ID,-2.8833,108.2667,78.42,83,100,6.91,overcast clouds
493,Carbondale,US,37.7273,-89.2168,48.49,43,0,6.91,clear sky
494,Mayo,US,38.8876,-76.5119,34.14,62,0,5.01,clear sky
495,Carutapera,BR,-1.195,-46.02,76.55,91,99,5.57,overcast clouds
496,Palmerston North,NZ,-40.35,175.6167,79.05,63,90,3.0,overcast clouds
497,Tambopata,PE,-12.7333,-69.1833,76.89,83,75,9.22,thunderstorm with rain
498,Kamenka,RU,51.3223,42.7678,32.76,88,100,17.52,overcast clouds
499,Grand Gaube,MU,-20.0064,57.6608,80.38,70,44,8.01,scattered clouds
500,Amahai,ID,-3.3333,128.9167,80.67,77,99,8.55,overcast clouds
501,Bandarbeyla,SO,9.4942,50.8122,76.37,77,57,15.28,broken clouds
502,Inta,RU,66.0317,60.1659,4.08,96,100,6.46,overcast clouds
503,Saint-Francois,FR,46.4154,3.9054,35.42,85,0,5.75,clear sky
504,Mozhaysk,RU,55.5019,36.0272,21.6,97,100,3.67,overcast clouds
505,Warmbad,NA,-28.45,18.7333,76.69,68,19,7.94,few clouds
506,Atar,MR,20.5169,-13.0499,80.1,13,100,9.26,overcast clouds
507,Murwillumbah,AU,-28.3167,153.4,86.95,65,71,13.8,broken clouds
508,Polewali,ID,-3.4324,119.3435,76.14,74,94,3.31,overcast clouds
509,Esik,KZ,43.3552,77.4525,20.62,63,100,6.91,overcast clouds
510,Filingue,NE,14.3521,3.3168,66.61,12,0,10.18,clear sky
511,Miri,MY,4.4148,114.0089,75.67,92,36,4.14,scattered clouds
512,La Ronge,CA,55.1001,-105.2842,5.4,91,100,16.84,light snow
513,Ornskoldsvik,SE,63.2909,18.7153,13.15,92,100,9.22,overcast clouds
514,Ambon,ID,-3.6954,128.1814,82.54,74,40,9.22,scattered clouds
515,Daru,PG,-9.0763,143.2092,77.49,89,100,10.8,light rain
516,Marsa Matruh,EG,31.3525,27.2453,56.66,66,72,16.15,broken clouds
517,Hwange,ZW,-18.3693,26.5019,67.06,99,10,3.27,light rain
518,Lorengau,PG,-2.0226,147.2712,77.9,90,100,10.78,overcast clouds
519,Franklin,US,39.9667,-83.0166,36.23,55,20,3.44,few clouds
520,Khasan,RU,42.4308,130.6434,15.96,69,69,6.64,broken clouds
521,San Ignacio,BZ,17.1561,-89.0714,68.76,89,95,4.34,overcast clouds
522,San Pedro,PH,14.35,121.0167,79.11,75,47,12.5,scattered clouds
523,Saint Anthony,US,45.0205,-93.218,29.14,74,75,5.99,broken clouds
524,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,11.5,few clouds
525,Mayskiy,RU,47.6931,40.1025,33.21,90,99,12.28,overcast clouds
526,Voh,NC,-20.9667,164.7,84.24,63,100,4.85,overcast clouds
527,Katobu,ID,-4.9408,122.5276,76.41,87,96,5.14,overcast clouds
528,Inyonga,TZ,-6.7167,32.0667,63.91,98,100,2.59,light rain
529,Kamaishi,JP,39.2667,141.8833,20.35,54,4,3.31,clear sky
530,Torbat-E Jam,IR,35.244,60.6225,38.79,43,19,1.14,few clouds
531,Ganzhou,CN,28.8184,115.4327,39.9,97,100,3.31,overcast clouds
532,Tuatapere,NZ,-46.1333,167.6833,74.82,54,69,0.4,broken clouds
533,Marsh Harbour,BS,26.5412,-77.0636,64.83,52,0,9.22,clear sky
534,Ballina,AU,-28.8667,153.5667,82.78,85,30,2.71,scattered clouds
535,Atlantic City,US,39.3643,-74.4229,30.97,71,0,8.05,clear sky
536,Praya,CV,14.9215,-23.5087,70.34,88,0,13.8,clear sky
537,Pallasovka,RU,50.05,46.8833,33.03,99,100,14.81,overcast clouds
538,Jumla,NP,29.2747,82.1838,30.76,68,19,3.22,few clouds
539,Paraiso,CR,9.8383,-83.8656,72.46,70,73,3.85,broken clouds
540,Chandur Bazar,IN,21.2417,77.7456,64.24,24,5,5.48,clear sky
541,Pochutla,MX,15.7432,-96.4661,83.25,55,6,12.08,clear sky
542,Suluova,TR,40.8313,35.6479,26.46,100,75,2.3,mist
543,Qobustan,AZ,40.0824,49.412,37.51,59,3,10.47,clear sky
544,Ankpa,NG,7.3706,7.6253,71.44,16,65,3.85,broken clouds
545,Tomatlan,MX,19.9333,-105.25,88.74,24,0,13.58,clear sky
546,Nago,JP,26.5881,127.9761,60.87,65,58,6.62,broken clouds
547,Gander,CA,48.9682,-54.5906,26.17,63,87,10.0,overcast clouds
548,Channel-Port Aux Basques,CA,47.5702,-59.1367,22.89,67,100,22.35,overcast clouds
549,Thunder Bay,CA,48.4001,-89.3168,27.0,81,100,1.99,overcast clouds
550,Lang Son,VN,21.8333,106.7333,46.35,90,100,4.99,overcast clouds
551,Son La,VN,21.3167,103.9,49.86,91,100,3.56,overcast clouds
552,Trincomalee,LK,8.5711,81.2335,79.3,67,25,9.98,scattered clouds
553,Punakha,BT,27.5837,89.8598,42.8,96,99,0.65,overcast clouds
554,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,11.5,scattered clouds
555,Kosh-Agach,RU,50.0,88.6667,-13.97,89,100,1.32,overcast clouds
556,Starkville,US,33.4504,-88.8184,62.26,59,7,5.41,clear sky
557,Singaparna,ID,-7.3515,108.111,71.73,94,98,1.95,overcast clouds
558,Fuerte Olimpo,PY,-21.0415,-57.8738,86.45,40,71,1.79,broken clouds
559,Ashikaga,JP,36.3333,139.45,39.58,45,0,5.55,clear sky
560,Weligama,LK,5.9667,80.4167,72.75,90,7,6.33,clear sky
561,Yakeshi,CN,49.2833,120.7333,-25.64,100,100,3.33,overcast clouds
562,Ponta Do Sol,PT,32.6667,-17.1,66.13,26,35,11.83,scattered clouds
563,Strelka,RU,58.0728,93.0344,-12.08,100,67,3.2,broken clouds
564,Owando,CG,-0.4819,15.8999,74.01,35,54,2.33,broken clouds
565,Iskateley,RU,67.6803,53.1512,8.98,96,100,6.67,overcast clouds
566,Rabo De Peixe,PT,37.8,-25.5833,59.27,95,75,8.05,broken clouds
567,Pachino,IT,36.7186,15.0907,55.44,77,7,34.0,clear sky
568,Udachnyy,RU,66.4167,112.4,-35.48,100,85,3.36,overcast clouds
569,Dwarka,IN,22.2394,68.9678,71.02,83,0,7.85,clear sky
570,Hovd,MN,48.0056,91.6419,-13.85,80,19,1.86,few clouds
571,Pailon,BO,-17.65,-62.75,85.1,69,70,3.47,moderate rain
572,Santa Maria,BR,-29.6842,-53.8069,83.79,30,19,5.37,few clouds
573,Lincoln,US,40.8,-96.667,60.17,23,0,4.0,clear sky
574,Onda,ES,39.9667,-0.25,56.28,49,0,7.7,clear sky
575,Moree,AU,-29.4667,149.85,87.82,48,100,9.22,overcast clouds
576,Encheng,CN,22.1839,112.3026,50.95,90,99,7.4,light rain
577,Chapais,CA,49.7834,-74.8492,-14.64,97,96,2.71,overcast clouds
578,Imbituba,BR,-28.24,-48.6703,76.89,93,38,3.47,scattered clouds
579,Yashkino,RU,55.8736,85.4265,13.15,96,100,5.79,overcast clouds
580,Trairi,BR,-3.2778,-39.2689,79.47,78,29,10.87,scattered clouds
581,Bartica,GY,6.4,-58.6167,79.12,98,97,2.86,overcast clouds
582,Gazojak,TM,41.1875,61.4036,34.75,69,1,10.25,clear sky
583,Athabasca,CA,54.7169,-113.2854,0.09,86,100,12.37,overcast clouds
584,Shepsi,RU,44.0361,39.1489,42.28,81,86,9.48,overcast clouds
585,Antalaha,MG,-14.9003,50.2788,75.74,86,95,6.62,overcast clouds
586,Zdvinsk,RU,54.7021,78.661,8.31,98,93,8.81,overcast clouds
587,Davila,PH,18.4726,120.5763,73.44,81,9,12.44,clear sky
588,Belmonte,BR,-15.8631,-38.8828,81.1,82,33,9.86,scattered clouds
589,Berlevag,NO,70.8578,29.0864,23.31,80,95,9.01,overcast clouds
590,Constitucion,CL,-35.3333,-72.4167,64.53,63,0,12.62,clear sky
591,Progreso,MX,21.2833,-89.6667,80.71,68,15,19.8,few clouds
592,Oussouye,SN,12.485,-16.5469,72.57,78,99,10.16,overcast clouds
593,Lyamino,RU,58.2839,57.725,7.36,98,99,3.22,overcast clouds
594,Salta,AR,-24.7859,-65.4117,64.69,76,98,5.99,overcast clouds
595,Inongo,CD,-1.95,18.2667,76.96,57,60,4.9,broken clouds
596,Hobyo,SO,5.3505,48.5268,77.54,81,58,13.29,broken clouds
597,Macamic,CA,48.7502,-78.9996,-2.33,95,38,4.76,scattered clouds
598,Manzanillo,CU,20.3433,-77.1167,73.89,64,97,16.24,overcast clouds
599,Porto Empedocle,IT,37.2934,13.5264,51.89,80,85,25.17,overcast clouds
600,Pastavy,BY,55.1168,26.8326,23.4,93,100,11.03,overcast clouds
601,Sinjar,IQ,36.3209,41.8754,41.83,65,98,4.7,overcast clouds
602,Kardailovo,RU,51.5386,53.9042,19.36,95,99,7.27,overcast clouds
603,Bhimunipatnam,IN,17.8833,83.4333,68.11,80,16,4.34,few clouds
604,Hopfgarten,DE,50.9833,11.2667,36.45,84,100,9.75,light snow
605,Shar,KZ,49.5886,81.0453,-3.95,91,52,6.29,broken clouds
606,Otavi,NA,-19.65,17.3333,65.59,84,100,13.73,overcast clouds
607,Kirakira,SB,-10.4544,161.9205,83.64,76,92,3.94,overcast clouds
608,Oistins,BB,13.0667,-59.5333,78.89,78,40,11.5,scattered clouds
609,Erenhot,CN,43.6475,111.9767,-1.75,86,5,6.67,clear sky
610,Tezu,IN,27.9167,96.1667,53.47,90,100,2.98,overcast clouds
611,Vila Do Maio,CV,15.1333,-23.2167,70.59,77,100,15.14,overcast clouds
612,Novokuznetsk,RU,53.7557,87.1099,7.2,84,100,2.39,overcast clouds
613,Cabra,ES,37.4725,-4.4421,49.89,50,0,1.88,clear sky
614,Envira,BR,-7.3,-70.2167,78.42,69,52,2.86,broken clouds
615,Terrace Bay,CA,48.7834,-87.1,28.08,79,100,21.34,overcast clouds
616,Makat,KZ,47.6469,53.3463,30.11,90,100,10.56,overcast clouds
617,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,80.04,73,97,0.98,overcast clouds
618,George,ZA,-33.963,22.4617,67.55,94,100,2.3,overcast clouds
619,Cilegon,ID,-6.0174,106.0538,78.69,81,100,3.44,overcast clouds
620,Pinotepa Nacional,MX,16.3167,-98.0167,83.61,48,0,10.27,clear sky
621,Brae,GB,60.3964,-1.353,40.91,97,100,18.95,overcast clouds
622,Grand-Lahou,CI,5.1367,-5.0242,79.43,86,94,7.23,overcast clouds
623,Homer,US,59.6425,-151.5483,28.04,73,0,0.0,clear sky
624,Dutse,NG,11.7594,9.3392,60.57,23,41,8.46,scattered clouds
625,Caconda,AO,-13.7333,15.0667,58.68,83,97,5.77,overcast clouds
626,Fairbanks,US,64.8378,-147.7164,-2.07,72,0,0.0,clear sky
627,Dezful,IR,32.3811,48.4058,51.35,72,100,8.75,overcast clouds
628,Thanh Hoa,VN,19.8,105.7667,54.1,76,100,5.82,overcast clouds
629,Mehran,IR,33.1222,46.1646,50.68,69,100,6.6,overcast clouds
630,Rorvik,NO,64.8621,11.2373,28.71,80,100,25.88,light snow
631,Japura,ID,-0.3167,102.35,72.57,96,66,1.3,broken clouds
632,Auki,SB,-8.7676,160.7034,83.19,74,99,2.8,overcast clouds
633,Kitgum,UG,3.2783,32.8867,75.88,56,100,7.7,overcast clouds
634,Selikhino,RU,50.3672,137.4996,-4.34,98,100,4.94,overcast clouds
635,Casper,US,42.8666,-106.3131,41.5,24,40,33.38,scattered clouds
636,Ahipara,NZ,-35.1667,173.1667,69.26,89,100,14.72,overcast clouds
637,Challapata,BO,-18.9,-66.7667,45.7,81,81,10.38,broken clouds
638,Tessalit,ML,20.1986,1.0114,65.84,12,59,9.78,broken clouds
639,Cascais,PT,38.6979,-9.4215,54.46,68,0,7.0,clear sky
640,Gimbi,ET,9.1667,35.8333,60.06,39,94,2.73,overcast clouds
641,Kheri,IN,27.9,80.8,51.24,77,0,5.84,clear sky
642,Mikuni,JP,36.2171,136.1519,35.33,81,63,6.98,light snow
643,Mons,BE,50.4538,3.9516,39.38,71,20,5.75,few clouds
644,Kemijarvi,FI,66.7131,27.4306,-5.31,100,66,2.48,broken clouds
645,Siocon,PH,7.7061,122.1353,77.81,81,95,4.45,overcast clouds
646,Grand-Bourg,GP,15.8835,-61.3148,77.09,75,2,11.12,clear sky
647,Wilkie,CA,52.4168,-108.7014,2.89,86,100,25.03,overcast clouds
648,Ponta Delgada,PT,37.7333,-25.6667,60.49,72,75,8.05,broken clouds
649,Weyburn,CA,49.6668,-103.8511,27.18,85,100,24.05,overcast clouds
650,Morwell,AU,-38.2333,146.4,80.91,63,14,7.76,few clouds
651,Lima,PE,-12.0432,-77.0282,75.9,69,0,4.0,clear sky
652,Visnes,NO,59.3556,5.2242,37.45,65,20,5.75,light rain
653,Bonfim,BR,3.0833,-59.95,85.8,48,87,9.51,overcast clouds
654,Anapskaya,RU,44.89,37.38,34.03,93,75,4.47,light snow
655,Liuli,TZ,-11.0833,34.6333,74.41,82,41,3.87,light rain
656,Saint-Louis,SN,16.3333,-15.0,85.3,10,100,10.07,overcast clouds
657,Cap-Aux-Meules,CA,47.3821,-61.8597,20.89,69,99,24.7,overcast clouds
658,Magnitka,RU,55.3475,59.6961,14.99,97,99,3.06,overcast clouds
659,Springville,US,40.1652,-111.6107,46.42,45,0,20.71,clear sky
660,Isangel,VU,-19.55,169.2667,78.28,89,100,7.61,light rain
661,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.7,76,9,8.3,clear sky
662,Pitimbu,BR,-7.4706,-34.8086,80.64,75,20,8.84,few clouds
663,Skjervoy,NO,70.0311,20.9714,31.06,54,100,11.54,overcast clouds
664,De Aar,ZA,-30.6497,24.0123,65.86,85,100,9.98,overcast clouds
665,Massakory,TD,12.996,15.7293,64.11,14,1,15.39,clear sky
666,Libertador General San Martin,AR,-23.8064,-64.7876,80.98,71,96,3.6,overcast clouds
667,Evensk,RU,61.95,159.2333,20.84,65,100,26.26,overcast clouds
668,Sinaloa,MX,25.0,-107.5,80.11,30,29,5.99,scattered clouds
669,Taksimo,RU,56.3444,114.8794,-21.12,93,62,1.81,broken clouds
670,Mahuva,IN,21.0914,71.7622,67.23,57,0,9.26,clear sky
671,Nakamura,JP,32.9833,132.9333,37.02,77,21,3.74,few clouds
672,Beringovskiy,RU,63.05,179.3167,0.59,87,92,17.11,overcast clouds
673,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,23,39,25.32,scattered clouds
674,Shubarshi,KZ,48.5872,57.1869,18.95,93,100,8.37,overcast clouds
675,Nokha,IN,27.6,73.4167,64.02,44,0,8.52,clear sky
676,Mareeba,AU,-17.0,145.4333,83.48,87,86,6.26,overcast clouds
677,Tacuarembo,UY,-31.7333,-55.9833,73.74,50,0,12.44,clear sky
678,Abilene,US,32.4487,-99.7331,70.29,41,0,4.0,clear sky
679,Aykhal,RU,66.0,111.5,-27.27,100,92,5.03,overcast clouds
680,Luanda,AO,-8.8368,13.2343,78.8,78,40,10.36,scattered clouds
681,Skjold,DK,55.7971,9.9397,35.55,87,99,16.46,light snow
682,Paracuru,BR,-3.41,-39.0306,82.42,76,43,11.77,scattered clouds
683,Dargaville,NZ,-35.9333,173.8833,75.4,64,100,14.47,overcast clouds
684,Innisfail,AU,-17.5333,146.0333,82.6,70,69,1.39,broken clouds
685,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,81,62,17.96,broken clouds
686,Alice Springs,AU,-23.7,133.8833,76.55,83,100,14.97,overcast clouds
687,Eugene,US,44.0521,-123.0867,47.39,87,75,1.99,broken clouds
688,Marienburg,PL,54.0359,19.0266,30.11,71,63,9.82,broken clouds
689,Phangnga,TH,8.4509,98.5298,78.84,94,36,3.51,scattered clouds
690,Batagay-Alyta,RU,67.8006,130.4114,-19.55,99,99,3.71,overcast clouds
