,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Butembo,CD,0.15,29.2833,60.48,59,100,3.13,overcast clouds
80,Castro,BR,-24.7911,-50.0119,65.37,87,9,3.6,clear sky
81,Carlyle,US,38.6103,-89.3726,46.67,64,80,8.66,broken clouds
82,Husavik,IS,66.0449,-17.3389,20.88,94,100,7.72,snow
83,Hitachi,JP,36.6,140.65,36.55,48,0,5.35,clear sky
84,Bredasdorp,ZA,-34.5322,20.0403,74.28,93,63,4.97,broken clouds
85,Zhangjiakou,CN,40.81,114.8794,5.97,64,3,5.01,light snow
86,Marovoay,MG,-16.1,46.6333,76.32,90,56,2.82,broken clouds
87,Leningradskiy,RU,69.3833,178.4167,-17.34,95,36,9.28,scattered clouds
88,Geraldton,AU,-28.7667,114.6,69.13,64,8,13.8,clear sky
89,Kapaa,US,22.0752,-159.319,75.18,71,100,1.01,overcast clouds
90,Umba,RU,66.6871,34.3429,4.05,98,100,4.92,overcast clouds
91,Kyra,RU,49.5776,111.9753,-12.55,94,59,4.29,broken clouds
92,East London,ZA,-33.0153,27.9116,76.98,78,100,2.35,overcast clouds
93,Khatanga,RU,71.9667,102.5,-28.89,100,47,2.77,scattered clouds
94,Acarau,BR,-2.8856,-40.12,80.19,81,36,15.73,scattered clouds
95,Fort Saint James,CA,54.4333,-124.25,18.46,89,100,2.17,overcast clouds
96,Tianmen,CN,30.6516,113.1603,36.91,65,98,7.38,overcast clouds
97,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,89,98,4.9,moderate rain
98,Klimovo,RU,52.3805,32.1923,25.29,95,100,12.15,light snow
99,Bemidji,US,47.4736,-94.8803,26.64,77,0,9.22,clear sky
100,Menongue,AO,-14.6585,17.691,64.76,57,100,3.42,overcast clouds
101,Kodiak,US,57.79,-152.4072,29.71,69,100,4.61,overcast clouds
102,Havelock,US,34.8791,-76.9013,49.98,59,79,6.55,broken clouds
103,Faanui,PF,-16.4833,-151.75,81.45,72,5,19.13,clear sky
104,Yinchuan,CN,38.4681,106.2731,17.74,25,80,4.16,broken clouds
105,Qaanaaq,GL,77.484,-69.3632,-22.59,51,0,10.22,clear sky
106,San Juan,AR,-31.5375,-68.5364,88.14,21,0,3.85,clear sky
107,Puksoozero,RU,62.5903,40.6066,7.63,96,100,6.89,overcast clouds
108,Sitka,US,57.0531,-135.33,35.49,80,75,3.44,broken clouds
109,Aktau,KZ,43.65,51.2,30.78,85,94,10.04,overcast clouds
110,Coquimbo,CL,-29.9533,-71.3436,66.13,75,68,5.82,broken clouds
111,Kaka,TM,37.3482,59.6143,43.27,40,16,5.26,few clouds
112,Kozan,TR,37.4552,35.8157,43.7,93,100,6.87,light rain
113,Malanje,AO,-9.5402,16.341,63.68,98,100,3.94,overcast clouds
114,Palmer,US,42.1584,-72.3287,21.81,71,53,1.97,broken clouds
115,Joao Pinheiro,BR,-17.7425,-46.1725,70.45,88,100,1.7,overcast clouds
116,Mahebourg,MU,-20.4081,57.7,80.26,75,37,24.27,scattered clouds
117,Kavieng,PG,-2.5744,150.7967,80.89,79,100,8.43,moderate rain
118,Pemberton,CA,50.3164,-122.8027,35.8,84,75,0.74,broken clouds
119,Natal,BR,-5.795,-35.2094,80.35,73,39,10.13,scattered clouds
120,Damavand,IR,35.7178,52.065,35.44,45,100,3.91,overcast clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,63,1.99,broken clouds
122,Altay,CN,47.8667,88.1167,7.27,63,86,5.1,overcast clouds
123,Ewa Beach,US,21.3156,-158.0072,80.6,57,98,8.99,overcast clouds
124,Chokurdakh,RU,70.6333,147.9167,-13.61,94,100,1.97,overcast clouds
125,Hermanus,ZA,-34.4187,19.2345,74.89,85,12,8.61,few clouds
126,Beloha,MG,-25.1667,45.05,72.25,81,13,14.25,few clouds
127,Airai,TL,-8.9266,125.4092,63.61,81,82,4.81,broken clouds
128,Salalah,OM,17.0151,54.0924,68.09,77,0,3.44,clear sky
129,Ormara,PK,25.2088,64.6357,73.49,42,0,7.87,clear sky
130,Kabompo,ZM,-13.5927,24.2008,64.42,98,100,1.9,light rain
131,Flin Flon,CA,54.7682,-101.865,7.27,93,100,13.18,light snow
132,Ayan,RU,56.45,138.1667,-0.4,69,100,15.66,overcast clouds
133,Caravelas,BR,-17.7125,-39.2481,79.56,84,1,10.09,clear sky
134,New Norfolk,AU,-42.7826,147.0587,81.66,52,25,1.01,scattered clouds
135,Chuy,UY,-33.6971,-53.4616,65.08,61,31,11.52,scattered clouds
136,Aklavik,CA,68.2191,-135.0107,1.27,87,100,13.82,overcast clouds
137,Cabadiangan,PH,9.7531,122.4739,76.44,87,98,4.72,overcast clouds
138,Lompoc,US,34.6391,-120.4579,65.21,70,100,15.01,overcast clouds
